Código,Descripción,tipo,grupo,nivel,padre,es_titular,prefijo
200000000000,PASIVO,T,PASIVO,1,,True,200
201000000000,PASIVO CIRCULANTE,T,PASIVO,1,200000000000,True,201
201010000000,CUENTAS A PAGAR,T,PASIVO,2,201000000000,True,201
201010100000,PROVEEDORES,T,PASIVO,3,201010000000,True,201
201010100010,PROVEEDORES NACIONALES,D,PASIVO,4,201010100000,False,201
201010100020,PROVEEDORES EXTRANJEROS,D,PASIVO,4,201010100000,False,201
201010200000,CONTRATISTAS,T,PASIVO,3,201010000000,True,201
201010200010,CONTRATISTAS SEC. OFICIAL,D,PASIVO,4,201010200000,False,201
201010200020,CONTRATISTAS SEC. PRIVADO,D,PASIVO,4,201010200000,False,201
201010300000,SUELDOS A PAGAR,T,PASIVO,3,201010000000,True,201
201010300010,NOMINA POR PAGAR 1A. QUINCENA,D,PASIVO,4,201010300000,False,201
201010300020,NOMINA POR PAGAR 2A. QUINCENA,D,PASIVO,4,201010300000,False,201
201010300030,NOMINA POR PAGAR OBREROS,D,PASIVO,4,201010300000,False,201
201010300040,SUELDOS DEV. POR PAGAR DIRECTIVO,D,PASIVO,4,201010300000,False,201
201010300050,SUELDOS DEV. POR PAGAR DOCENTE,D,PASIVO,4,201010300000,False,201
201010300060,SUELDOS DEV. POR PAGAR ADM.,D,PASIVO,4,201010300000,False,201
201010300070,HOMOLOGACION PERSONAL DOCENTE,D,PASIVO,4,201010300000,False,201
201010300080,SUELDOS DEVENGADOS POR PAGAR PERSONAL OBRERO,D,PASIVO,4,201010300000,False,201
201010300090,SUELDOS DEVENGADOS POR PAGAR.,D,PASIVO,4,201010300000,False,201
201010300100,NOMINA POR PAGAR EMPLEADOS,D,PASIVO,4,201010300000,False,201
201010300110,SUELDOS POR PAGAR PERSONAL DIRECTIVO,D,PASIVO,4,201010300000,False,201
201010300120,SUELDOS POR PAGAR PERSONAL DOCENTE,D,PASIVO,4,201010300000,False,201
201010300130,SUELDOS POR PAGAR PERSONAL ADMINISTRATIVO,D,PASIVO,4,201010300000,False,201
201010300140,SUELDOS POR PAGAR PERSONAL ADM. DIRECTIVO,D,PASIVO,4,201010300000,False,201
201010300150,SALARIOS POR PAGAR OBREROS,D,PASIVO,4,201010300000,False,201
201010300160,DEUDA PERSONAL DOCENTE NO CENSADO,D,PASIVO,4,201010300000,False,201
201010300170,DEUDA PERSONAL ADMINISTRATIVO NO CENSADO,D,PASIVO,4,201010300000,False,201
201010300180,DEUDA PERSONAL OBRERO NO CENSADO,D,PASIVO,4,201010300000,False,201
201010300190,SUELDO A PAGAR PERS. DOCENTE BECADO,D,PASIVO,4,201010300000,False,201
201010300200,SUELDOS Y SALARIOS POR PAGAR MPPEU,D,PASIVO,4,201010300000,False,201
201010400000,RETENCIONES LABORALES A PAGAR,T,PASIVO,3,201010000000,True,201
201010401000,RETENCIONES LABORALES A PAGAR PARA INSTITUC.,T,PASIVO,3,201010000000,True,201
201010401010,RETENCIONES S.S.O.,D,PASIVO,4,201010401000,False,201
201010401020,SEGURO DE VIDA POR PAG. I.P.P.,D,PASIVO,4,201010401000,False,201
201010401030,FONDO DE JUBILACION PERS.DOCENTE Y DIRECTIVO,D,PASIVO,4,201010401000,False,201
201010401040,POLIZA H.C.M. PERS. DE LA U.C.V.,D,PASIVO,4,201010401000,False,201
201010401050,PARO FORZOSO,D,PASIVO,4,201010401000,False,201
201010402000,RETENCION LABORAL PARA EL INCE,D,PASIVO,3,201010000000,False,201
201010403000,RETENC. LABORAL POR LEY DE POLITICA HABITAC.,D,PASIVO,3,201010000000,False,201
201010404000,OTRAS RETENCIONES LABORALES,T,PASIVO,3,201010000000,True,201
201010404010,RETENCIONES SINDICATOS,D,PASIVO,4,201010404000,False,201
201010404020,CUOTA ASOCIACION EMPLEADOS,D,PASIVO,4,201010404000,False,201
201010404028,MONTEPIO,D,PASIVO,4,201010404000,False,201
201010404030,ASOCIACION DE PROFESORES,D,PASIVO,4,201010404000,False,201
201010404040,IMPUESTO SOBRE LA RENTA RETENIDO,D,PASIVO,4,201010404000,False,201
201010404050,CAJA DE AHORRO EMPLEADOS,D,PASIVO,4,201010404000,False,201
201010404060,COLEGIOS DE PROFESIONALES,D,PASIVO,4,201010404000,False,201
201010404070,JARDIN DE INFANCIA,D,PASIVO,4,201010404000,False,201
201010404080,CENTRO DE ESTUDIANTE,D,PASIVO,4,201010404000,False,201
201010404090,CUOTA CAJA DE AHORRO PERSONAL DOCENTE,D,PASIVO,4,201010404000,False,201
201010404100,PRESTAMO CORTO PLAZO POR PAGAR,D,PASIVO,4,201010404000,False,201
201010404110,PREST. A LARGO PLAZO POR PAGAR,D,PASIVO,4,201010404000,False,201
201010404120,PRESTAMO A CORTO PLAZO C.A.P.S.,D,PASIVO,4,201010404000,False,201
201010404130,PRESTAMO A LARGO PLAZO C.A.P.S.,D,PASIVO,4,201010404000,False,201
201010404140,INCREMENTO BIBLIOTECA,D,PASIVO,4,201010404000,False,201
201010404150,CUOTA APUFAT,D,PASIVO,4,201010404000,False,201
201010404160,NOTAS DE DEBITO,D,PASIVO,4,201010404000,False,201
201010404170,PREVISION SOCIAL,D,PASIVO,4,201010404000,False,201
201010404180,INAVI,D,PASIVO,4,201010404000,False,201
201010404190,DESCUENTO COMERCIAL OBRERO,D,PASIVO,4,201010404000,False,201
201010404200,OTROS DESCUENTO PERS. OBRERO,D,PASIVO,4,201010404000,False,201
201010404210,ASOC. CULTURAL EMPL. U.C.V.,D,PASIVO,4,201010404000,False,201
201010404220,AUTORIZACION FIRMADA DESCUENTO DE NOMINA,D,PASIVO,4,201010404000,False,201
201010404230,CONSEJO VZLANO. PARA LA PAZ Y LOS DER. HUM.,D,PASIVO,4,201010404000,False,201
201010404240,DESCUENTOS POR BECA,D,PASIVO,4,201010404000,False,201
201010404250,DESCUENTO POR INASISTENCIA,D,PASIVO,4,201010404000,False,201
201010404260,DESCUENTO POR BONO ESCOLAR,D,PASIVO,4,201010404000,False,201
201010404270,SEGURO FUNERARIO,D,PASIVO,4,201010404000,False,201
201010404280,MONTEPIO,D,PASIVO,4,201010404000,False,201
201010404290,I.P.P. SEGURO EDUCACIONAL,D,PASIVO,4,201010404000,False,201
201010404300,SEGURO MEDICO POR PAGAR.-,D,PASIVO,4,201010404000,False,201
201010404310,SALON PROF. FACULTAD DE CIENCIAS.-,D,PASIVO,4,201010404000,False,201
201010404320,APORTE SEGURO DE VIDA POR PAGAR.-,D,PASIVO,4,201010404000,False,201
201010404330,DESCUENTO PRESTAMO.-,D,PASIVO,4,201010404000,False,201
201010404340,PREV. ASOC. LINOTIPISTAS DE VENEZUELA.,D,PASIVO,4,201010404000,False,201
201010404350,DESCTOS. ESPECIALES OBREROS.,D,PASIVO,4,201010404000,False,201
201010404360,RETENCIONES NO RECLAMADAS.,D,PASIVO,4,201010404000,False,201
201010404370,SINDICATO U.C.V. DOC. Y ADM.,D,PASIVO,4,201010404000,False,201
201010404380,RETENCION FODO JUBILACION PERS. ADM. Y OBRERO,D,PASIVO,4,201010404000,False,201
201010406000,RETENCIONES PARA FONDOS DE JUBILACIONES,D,PASIVO,3,201010000000,False,201
201010499000,OTRAS RETENCIONES LABORALES,T,PASIVO,3,201010000000,True,201
201010500000,APORTES PATRONALES A PAGAR,T,PASIVO,3,201010000000,True,201
201010501000,APORTES PATRONALES PARA INSTITUCIONES DE SEGU,T,PASIVO,3,201010000000,True,201
201010501010,APORTE PATRONAL S.S.O. Y PARO FORZOSO,D,PASIVO,4,201010501000,False,201
201010501020,APORTE PATRONAL I.P.P.,D,PASIVO,4,201010501000,False,201
201010502000,APORTE PATRONAL PARA EL INCE,D,PASIVO,3,201010000000,False,201
201010503000,APORTE PATRONAL POR LEY DE POLITICA HABITACIO,D,PASIVO,3,201010000000,False,201
201010504000,OTROS APORTES PATRONALES,T,PASIVO,3,201010000000,True,201
201010504010,APORTE PATRONAL CAJA DE AHORROS,D,PASIVO,4,201010504000,False,201
201010504020,APORTE PATRONAL FONDO DE JUBILACION,D,PASIVO,4,201010504000,False,201
201010504030,APORTE PATRONAL APUCV,D,PASIVO,4,201010504000,False,201
201010504040,APORTE FONDO JUBILACION ADM. Y OBREROS,D,PASIVO,4,201010504000,False,201
201010600000,DEPOSITOS Y FIANZAS A PAGAR,D,PASIVO,3,201010000000,False,201
201010700000,INTERESES POR PAGAR,T,PASIVO,3,201010000000,True,201
